day,asset,selfPrice,avgPrice,pnlPer,pnl
1,stocks,128.175,135.58375,-7.408749999999998,451.93374999999986
2,stocks,127.17,151.495,-24.325000000000003,121.62500000000001
3,stocks,156.645,142.50875,14.136250000000018,834.0387500000011
4,stocks,119.77499999999999,145.58375,-25.808750000000018,309.7050000000002
5,stocks,109.97999999999999,143.115,-33.13500000000002,2120.6400000000012
6,stocks,160.75500000000002,139.36375,21.391250000000014,-1369.0400000000009
7,stocks,157.635,145.38875,12.246250000000003,489.85000000000014
8,stocks,141.72,145.98,-4.259999999999991,89.45999999999981
9,stocks,125.205,149.59125,-24.386250000000004,-268.24875000000003
10,stocks,169.98,155.0425,14.9375,134.4375
11,stocks,176.97,130.65,46.31999999999999,3335.0399999999995
12,stocks,117.045,133.70625,-16.66125000000001,-66.64500000000004
13,stocks,143.37,134.6275,8.742500000000007,-201.07750000000016
14,stocks,153.82500000000002,152.26375,1.5612500000000296,101.48125000000192
15,stocks,174.97500000000002,164.30125,10.673750000000013,-426.9500000000005
16,stocks,130.17000000000002,149.215,-19.044999999999987,837.9799999999994
17,stocks,141.105,118.25125,22.85374999999999,914.1499999999996
18,stocks,169.785,150.31375,19.471249999999998,-233.65499999999997
19,stocks,119.94,133.665,-13.724999999999994,68.62499999999997
20,stocks,123.6,142.3325,-18.732500000000016,-74.93000000000006
21,stocks,146.13,162.5225,-16.392500000000013,114.74750000000009
22,stocks,152.085,153.02375,-0.9387499999999989,23.46874999999997
23,stocks,134.07,151.8225,-17.752499999999998,-1065.1499999999999
24,stocks,174.36,170.5575,3.802500000000009,53.23500000000013
25,stocks,117.85499999999999,141.94125,-24.086250000000007,-1397.0025000000005
26,stocks,142.29,134.1425,8.14749999999998,0.0
27,stocks,187.575,148.35375,39.22125,3451.47
28,stocks,132.165,147.68625,-15.521250000000009,-419.07375000000025
29,stocks,188.46,154.095,34.36500000000001,1443.3300000000004
30,stocks,179.95499999999998,137.55625,42.39874999999998,-3264.7037499999983
